rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated,execute_roundtrip_ms,fetch_dataframe_ms,query_id,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned
100000,memory,clean_derive,pandas,1,2,0.694708,0.703,100000,True,,,,,,,,,
100000,memory,clean_derive,pandas,1,3,0.5635,0.571,100000,True,,,,,,,,,
100000,memory,clean_derive,pandas,1,4,0.644583,0.642,100000,True,,,,,,,,,
100000,memory,clean_derive,pandas,1,5,0.584667,0.592,100000,True,,,,,,,,,
100000,memory,join_groupby,duckdb,1,1,3.857917,4.192,200,True,,,,,,,,,
100000,memory,join_groupby,duckdb,1,2,4.312917,4.75,200,True,,,,,,,,,
100000,memory,join_groupby,duckdb,1,3,4.026166,7.208,200,True,,,,,,,,,
100000,memory,join_groupby,duckdb,1,4,3.593208,3.944,200,True,,,,,,,,,
100000,memory,join_groupby,duckdb,1,5,3.548792,4.563,200,True,,,,,,,,,
100000,memory,join_groupby,pandas,1,1,5.481125,5.49,200,True,,,,,,,,,
100000,memory,join_groupby,pandas,1,2,6.060417,6.04,200,True,,,,,,,,,
100000,memory,join_groupby,pandas,1,3,6.934125,6.821,200,True,,,,,,,,,
100000,memory,join_groupby,pandas,1,4,6.06225,6.071,200,True,,,,,,,,,
100000,memory,join_groupby,pandas,1,5,5.858875,5.858,200,True,,,,,,,,,
100000,parquet,join_groupby,duckdb,1,1,4.990375,5.627,200,True,,,,,,,,,
100000,parquet,join_groupby,duckdb,1,2,4.944292,5.061,200,True,,,,,,,,,
100000,parquet,join_groupby,duckdb,1,3,5.194334,5.187,200,True,,,,,,,,,
100000,parquet,join_groupby,duckdb,1,4,5.144666,5.033,200,True,,,,,,,,,
100000,parquet,join_groupby,duckdb,1,5,4.924625,7.198,200,True,,,,,,,,,
100000,parquet,join_groupby,pandas,1,1,8.276417,9.015,200,True,,,,,,,,,
100000,parquet,join_groupby,pandas,1,2,7.952708,8.77,200,True,,,,,,,,,
100000,parquet,join_groupby,pandas,1,3,8.310583,9.166,200,True,,,,,,,,,
100000,parquet,join_groupby,pandas,1,4,9.896416,10.618,200,True,,,,,,,,,
100000,parquet,join_groupby,pandas,1,5,8.638833,9.535,200,True,,,,,,,,,
10000000,parquet,filter_project,pandas,1,1,63.910416,219.346,1980090,True,,,,,,,,,
10000000,parquet,filter_project,pandas,1,2,60.099041,210.124,1980090,True,,,,,,,,,
10000000,parquet,filter_project,pandas,1,3,59.427084,207.22,1980090,True,,,,,,,,,
10000000,parquet,filter_project,pandas,1,4,59.31925,206.262,1980090,True,,,,,,,,,
10000000,parquet,filter_project,pandas,1,5,58.540875,204.232,1980090,True,,,,,,,,,
10000000,parquet,filter_project,duckdb,1,1,49.845,182.148,1980090,True,,,,,,,,,
10000000,parquet,filter_project,duckdb,1,2,51.001708,179.385,1980090,True,,,,,,,,,
10000000,parquet,filter_project,duckdb,1,3,49.969417,179.982,1980090,True,,,,,,,,,
10000000,parquet,filter_project,duckdb,1,4,48.884958,176.11,1980090,True,,,,,,,,,
10000000,parquet,filter_project,duckdb,1,5,47.102125,171.884,1980090,True,,,,,,,,,
10000000,warehouse,clean_derive,snowflake,1,1,3854.645292,1112.057,10000000,True,683.245292,3171.4,01c6f1d0-0001-fe0c-0001-9ade000af8de,620.0,46.0,574.0,0.0,0.0,226409984.0
10000000,warehouse,clean_derive,snowflake,1,2,3710.698583,984.943,10000000,True,692.582333,3018.11625,01c6f1d0-0001-fcf8-0001-9ade000aa3e6,617.0,41.0,576.0,0.0,0.0,226409984.0
10000000,warehouse,clean_derive,snowflake,1,3,7106.077334,1184.924,10000000,True,1966.923834,5139.1535,01c6f1d0-0001-fe0c-0001-9ade000af8e2,665.0,42.0,623.0,0.0,0.0,226409984.0
10000000,warehouse,clean_derive,snowflake,1,4,4656.908166,1449.744,10000000,True,751.16125,3905.746916,01c6f1d0-0001-fe0c-0001-9ade000af8e6,663.0,43.0,620.0,0.0,0.0,226409984.0
10000000,warehouse,clean_derive,snowflake,1,5,3953.024416,1252.448,10000000,True,736.966625,3216.057791,01c6f1d0-0001-fe0c-0001-9ade000af8ea,670.0,39.0,631.0,0.0,0.0,226409984.0
100000,warehouse,join_groupby,snowflake,1,1,140.5315,5.673,200,True,138.286042,2.245458,01c6f1d0-0001-fcf8-0001-9ade000aa3f6,80.0,49.0,31.0,0.0,0.0,1211904.0
100000,warehouse,join_groupby,snowflake,1,2,148.118541,5.175,200,True,146.166375,1.952166,01c6f1d0-0001-fe0c-0001-9ade000af8f2,84.0,51.0,33.0,0.0,0.0,1211904.0
100000,warehouse,join_groupby,snowflake,1,3,116.187708,2.713,200,True,115.321041,0.866667,01c6f1d0-0001-fe0c-0001-9ade000af8f6,73.0,42.0,31.0,0.0,0.0,1211904.0
100000,warehouse,join_groupby,snowflake,1,4,109.120792,2.299,200,True,108.481375,0.639417,01c6f1d0-0001-fe0c-0001-9ade000af8fa,75.0,43.0,32.0,0.0,0.0,1211904.0
100000,warehouse,join_groupby,snowflake,1,5,180.218167,2.015,200,True,179.644625,0.573542,01c6f1d0-0001-fcf8-0001-9ade000aa3fa,86.0,53.0,33.0,0.0,0.0,1211904.0
