query_id,client_execute_roundtrip_ms,output_rows,validation,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned,elapsed_ms,path,rows,workload,block,run,metric_scope,cpu_ms,input_ms,output_bytes,output_batches,checksum,type,block_peak_rss_bytes
01c6f2c2-0001-fe0c-0001-9ade000b9ea2,165.182708,200,row-count; full checksum query before block,82.0,57.0,25.0,0.0,0.0,333824.0,82.0,snowflake_small,10000,join_groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9ea6,119.644042,200,row-count; full checksum query before block,80.0,56.0,24.0,0.0,0.0,333824.0,80.0,snowflake_small,10000,join_groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba78a,75.331625,2004,row-count; full checksum query before block,47.0,34.0,13.0,0.0,0.0,95232.0,47.0,snowflake_small,10000,filter_project,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9eae,79.826459,2004,row-count; full checksum query before block,51.0,40.0,11.0,0.0,0.0,95232.0,51.0,snowflake_small,10000,filter_project,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9eb2,79.900916,50,row-count; full checksum query before block,55.0,37.0,18.0,0.0,0.0,95232.0,55.0,snowflake_small,10000,groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba79a,104.415542,50,row-count; full checksum query before block,83.0,65.0,18.0,0.0,0.0,95232.0,83.0,snowflake_small,10000,groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9ebe,257.438208,100000,row-count; full checksum query before block,202.0,33.0,169.0,0.0,0.0,973312.0,202.0,snowflake_small,100000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba7a2,254.718792,100000,row-count; full checksum query before block,195.0,33.0,162.0,0.0,0.0,973312.0,195.0,snowflake_small,100000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba7a6,228.668208,19886,row-count; full checksum query before block,145.0,45.0,100.0,0.0,0.0,973312.0,145.0,snowflake_small,100000,filter_project,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba7aa,212.247625,19886,row-count; full checksum query before block,155.0,49.0,106.0,0.0,0.0,973312.0,155.0,snowflake_small,100000,filter_project,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba7b2,154.639167,1000,row-count; full checksum query before block,45.0,35.0,10.0,0.0,0.0,10240.0,45.0,snowflake_small,1000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba7b6,73.958166,1000,row-count; full checksum query before block,49.0,39.0,10.0,0.0,0.0,10240.0,49.0,snowflake_small,1000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba7c6,175.458167,10000,row-count; full checksum query before block,113.0,38.0,75.0,0.0,0.0,95232.0,113.0,snowflake_large,10000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba7ca,186.435958,10000,row-count; full checksum query before block,114.0,37.0,77.0,0.0,0.0,95232.0,114.0,snowflake_large,10000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c3-0001-fcf8-0001-9ade000ba7d2,145.54075,1000,row-count; full checksum query before block,101.0,83.0,18.0,0.0,0.0,10240.0,101.0,snowflake_large,1000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c3-0001-fcf8-0001-9ade000ba7d6,97.2885,1000,row-count; full checksum query before block,61.0,49.0,12.0,0.0,0.0,10240.0,61.0,snowflake_large,1000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c3-0001-fe0c-0001-9ade000b9eee,94.569,50,row-count; full checksum query before block,65.0,49.0,16.0,0.0,0.0,95232.0,65.0,snowflake_large,10000,groupby,1,1,platform_query,,,,,,,
01c6f2c3-0001-fe0c-0001-9ade000b9ef2,82.319042,50,row-count; full checksum query before block,55.0,38.0,17.0,0.0,0.0,95232.0,55.0,snowflake_large,10000,groupby,1,2,platform_query,,,,,,,
01c6f2c3-0001-fcf8-0001-9ade000ba7ea,75.025,2004,row-count; full checksum query before block,50.0,39.0,11.0,0.0,0.0,95232.0,50.0,snowflake_large,10000,filter_project,1,1,platform_query,,,,,,,
01c6f2c3-0001-fe0c-0001-9ade000b9efa,151.548166,2004,row-count; full checksum query before block,67.0,55.0,12.0,0.0,0.0,95232.0,67.0,snowflake_large,10000,filter_project,1,2,platform_query,,,,,,,
01c6f2c3-0001-fe0c-0001-9ade000b9f02,241.625958,19886,row-count; full checksum query before block,146.0,44.0,102.0,0.0,0.0,973312.0,146.0,snowflake_large,100000,filter_project,1,1,platform_query,,,,,,,
01c6f2c3-0001-fe0c-0001-9ade000b9f06,194.380375,19886,row-count; full checksum query before block,132.0,40.0,92.0,0.0,0.0,973312.0,132.0,snowflake_large,100000,filter_project,1,2,platform_query,,,,,,,
01c6f2c3-0001-fcf8-0001-9ade000ba7f6,77.562958,189,row-count; full checksum query before block,54.0,42.0,12.0,0.0,0.0,10240.0,54.0,snowflake_large,1000,filter_project,1,1,platform_query,,,,,,,
01c6f2c3-0001-fe0c-0001-9ade000b9f16,71.617625,189,row-count; full checksum query before block,48.0,38.0,10.0,0.0,0.0,10240.0,48.0,snowflake_large,1000,filter_project,1,2,platform_query,,,,,,,
01c6f2c3-0001-fcf8-0001-9ade000ba802,125.735125,200,row-count; full checksum query before block,93.0,54.0,39.0,0.0,0.0,248832.0,93.0,snowflake_large,1000,join_groupby,1,1,platform_query,,,,,,,
